Accomack County, Harry S. Truman, Democratic, 53.77
Pittsylvania County, Harry S. Truman, Democratic, 55.58
Powhatan County, Harry S. Truman, Democratic, 50.98
Prince Edward County, Harry S. Truman, Democratic, 43.07
Prince George County, Harry S. Truman, Democratic, 61.57
Princess Anne County, Harry S. Truman, Democratic, 54.05
Prince William County, Harry S. Truman, Democratic, 55.78
Pulaski County, Thomas Edmund Dewey, Republican, 48.99
Rappahannock County, Harry S. Truman, Democratic, 59.67
Richmond County, Thomas Edmund Dewey, Republican, 48.13
Roanoke County, Thomas Edmund Dewey, Republican, 53.49
Rockbridge County, Thomas Edmund Dewey, Republican, 46.5
Rockingham County, Thomas Edmund Dewey, Republican, 62.12
Russell County, Harry S. Truman, Democratic, 51.29
Scott County, Thomas Edmund Dewey, Republican, 56.12
Shenandoah County, Thomas Edmund Dewey, Republican, 64.65
Smyth County, Thomas Edmund Dewey, Republican, 60.08
Southampton County, Harry S. Truman, Democratic, 69.62
Spotsylvania County, Harry S. Truman, Democratic, 54.17
Stafford County, Thomas Edmund Dewey, Republican, 46.36
Surry County, Harry S. Truman, Democratic, 59.43
Sussex County, Harry S. Truman, Democratic, 50.33
Tazewell County, Thomas Edmund Dewey, Republican, 48.41
Warren County, Harry S. Truman, Democratic, 51.99
Washington County, Thomas Edmund Dewey, Republican, 52.2
Westmoreland County, Thomas Edmund Dewey, Republican, 44.51
Wise County, Harry S. Truman, Democratic, 61.98
Wythe County, Thomas Edmund Dewey, Republican, 62.26
York County, Harry S. Truman, Democratic, 60.03
Alexandria City, Harry S. Truman, Democratic, 44.99
Bristol City, Harry S. Truman, Democratic, 58.94
Buena Vista City, Harry S. Truman, Democratic, 52.75
Charlottesville City, Harry S. Truman, Democratic, 45.35
Clifton Forge City, Harry S. Truman, Democratic, 58.22
Danville City, Harry S. Truman, Democratic, 42.84
Fredericksburg City, Harry S. Truman, Democratic, 42.26
Hampton City, Harry S. Truman, Democratic, 58.87
Harrisonburg City, Thomas Edmund Dewey, Republican, 58.55
Hopewell City, Harry S. Truman, Democratic, 62.7
Lynchburg City, Harry S. Truman, Democratic, 36.76
Martinsville City, Harry S. Truman, Democratic, 39.5
Newport News City, Harry S. Truman, Democratic, 65.28
Norfolk City, Harry S. Truman, Democratic, 50.76
Petersburg City, Harry S. Truman, Democratic, 52.7
Portsmouth City, Harry S. Truman, Democratic, 62.48
Radford City, Thomas Edmund Dewey, Republican, 48.16
Richmond City, Harry S. Truman, Democratic, 46.64
Roanoke City, Thomas Edmund Dewey, Republican, 49.56
South Norfolk City, Harry S. Truman, Democratic, 66.8
Staunton City, Thomas Edmund Dewey, Republican, 49.49
Suffolk City, Harry S. Truman, Democratic, 49.76
Warwick City, Harry S. Truman, Democratic, 57.57
Waynesboro City, Harry S. Truman, Democratic, 46.77
Williamsburg City, Thomas Edmund Dewey, Republican, 39.34
Winchester City, Thomas Edmund Dewey, Republican, 49.96
