Accomack County, Ronald Reagan, Republican, 50.21
Emporia City, Ronald Reagan, Republican, 51.95
Fairfax City, Ronald Reagan, Republican, 55.91
Falls Church City, Ronald Reagan, Republican, 52.23
Franklin City, Jimmy Carter, Democratic, 53.91
Fredericksburg City, Ronald Reagan, Republican, 50.36
Galax City, Ronald Reagan, Republican, 51.81
Hampton City, Jimmy Carter, Democratic, 49.03
Harrisonburg City, Ronald Reagan, Republican, 58.45
Hopewell City, Ronald Reagan, Republican, 56.19
Lexington City, Jimmy Carter, Democratic, 46.23
Lynchburg City, Ronald Reagan, Republican, 62.44
Manassas City, Ronald Reagan, Republican, 60.76
Manassas Park City, Ronald Reagan, Republican, 58.13
Martinsville City, Ronald Reagan, Republican, 48.82
Newport News City, Ronald Reagan, Republican, 47.73
Norfolk City, Jimmy Carter, Democratic, 52.26
Norton City, Jimmy Carter, Democratic, 54.43
Petersburg City, Jimmy Carter, Democratic, 59.73
Poquoson City, Ronald Reagan, Republican, 68.78
Portsmouth City, Jimmy Carter, Democratic, 58.14
Radford City, Jimmy Carter, Democratic, 49.85
Richmond City, Jimmy Carter, Democratic, 55.08
Roanoke City, Jimmy Carter, Democratic, 51.91
Salem City, Ronald Reagan, Republican, 51.78
South Boston City, Ronald Reagan, Republican, 60.97
Staunton City, Ronald Reagan, Republican, 60.79
Suffolk City, Jimmy Carter, Democratic, 54.07
Virginia Beach City, Ronald Reagan, Republican, 60.5
Waynesboro City, Ronald Reagan, Republican, 61.84
Williamsburg City, Ronald Reagan, Republican, 45.51
Winchester City, Ronald Reagan, Republican, 64.02
