Appling, James Earl Carter, Democratic, 59.62
Glascock, James Earl Carter, Democratic, 53.95
Glynn, James Earl Carter, Democratic, 49.69
Gordon, James Earl Carter, Democratic, 60.86
Grady, James Earl Carter, Democratic, 59.08
Greene, James Earl Carter, Democratic, 71.96
Gwinnett, Ronald Wilson Reagan, Republican, 52.84
Habersham, James Earl Carter, Democratic, 64.8
Hall, James Earl Carter, Democratic, 59.08
Hancock, James Earl Carter, Democratic, 78.5
Haralson, James Earl Carter, Democratic, 60.5
Harris, James Earl Carter, Democratic, 56.8
Hart, James Earl Carter, Democratic, 73.03
Heard, James Earl Carter, Democratic, 59.05
Henry, James Earl Carter, Democratic, 50.01
Houston, James Earl Carter, Democratic, 52.74
Irwin, James Earl Carter, Democratic, 59.08
Jackson, James Earl Carter, Democratic, 66.07
Jasper, James Earl Carter, Democratic, 62.24
Jeff Davis, James Earl Carter, Democratic, 62.19
Jefferson, James Earl Carter, Democratic, 66.39
Jenkins, James Earl Carter, Democratic, 65.46
Johnson, James Earl Carter, Democratic, 61.21
Jones, James Earl Carter, Democratic, 62.05
Lamar, James Earl Carter, Democratic, 64.08
Lanier, James Earl Carter, Democratic, 69.58
Laurens, James Earl Carter, Democratic, 62.76
Lee, Ronald Wilson Reagan, Republican, 53.05
Liberty, James Earl Carter, Democratic, 66.18
Lincoln, James Earl Carter, Democratic, 66.27
Long, James Earl Carter, Democratic, 68.96
Lowndes, Ronald Wilson Reagan, Republican, 51.29
Lumpkin, James Earl Carter, Democratic, 63.24
McDuffie, James Earl Carter, Democratic, 56.95
McIntosh, James Earl Carter, Democratic, 69.01
Macon, James Earl Carter, Democratic, 76.02
Madison, James Earl Carter, Democratic, 55.17
Marion, James Earl Carter, Democratic, 66.22
Meriwether, James Earl Carter, Democratic, 66.77
Miller, James Earl Carter, Democratic, 54.9
Mitchell, James Earl Carter, Democratic, 60.89
Monroe, James Earl Carter, Democratic, 65.85
Montgomery, James Earl Carter, Democratic, 62.99
Morgan, James Earl Carter, Democratic, 62
Murray, James Earl Carter, Democratic, 65.82
Muscogee, James Earl Carter, Democratic, 58.82
Newton, James Earl Carter, Democratic, 61.96
Oconee, James Earl Carter, Democratic, 49.03
Oglethorpe, James Earl Carter, Democratic, 56.41
Paulding, James Earl Carter, Democratic, 60.72
Peach, James Earl Carter, Democratic, 66.05
Pickens, James Earl Carter, Democratic, 57.84
Pierce, James Earl Carter, Democratic, 64.25
Pike, James Earl Carter, Democratic, 56.72
Polk, James Earl Carter, Democratic, 63.31
Pulaski, James Earl Carter, Democratic, 61.79
Putnam, James Earl Carter, Democratic, 61.41
Quitman, James Earl Carter, Democratic, 70.37
Rabun, James Earl Carter, Democratic, 66.58
Randolph, James Earl Carter, Democratic, 67.85
Richmond, James Earl Carter, Democratic, 53.72
Rockdale, Ronald Wilson Reagan, Republican, 52.65
Schley, James Earl Carter, Democratic, 56.5
Screven, James Earl Carter, Democratic, 57.78
Seminole, James Earl Carter, Democratic, 61.1
Spalding, James Earl Carter, Democratic, 58.19
Stephens, James Earl Carter, Democratic, 67.68
Stewart, James Earl Carter, Democratic, 69
Sumter, James Earl Carter, Democratic, 61.49
Talbot, James Earl Carter, Democratic, 72.89
Taliaferro, James Earl Carter, Democratic, 70.23
Tattnall, James Earl Carter, Democratic, 57.26
Taylor, James Earl Carter, Democratic, 68.38
Telfair, James Earl Carter, Democratic, 68.51
Terrell, James Earl Carter, Democratic, 58.77
Thomas, James Earl Carter, Democratic, 56.05
Tift, James Earl Carter, Democratic, 56.99
Toombs, James Earl Carter, Democratic, 52.53
Towns, James Earl Carter, Democratic, 49.27
Treutlen, James Earl Carter, Democratic, 65.22
Troup, James Earl Carter, Democratic, 57.46
Turner, James Earl Carter, Democratic, 68.13
Twiggs, James Earl Carter, Democratic, 74.26
Union, James Earl Carter, Democratic, 51.34
Upson, James Earl Carter, Democratic, 61.73
Walker, Ronald Wilson Reagan, Republican, 50.16
Walton, James Earl Carter, Democratic, 61.96
Ware, James Earl Carter, Democratic, 62.22
Warren, James Earl Carter, Democratic, 65.36
Washington, James Earl Carter, Democratic, 64.35
Wayne, James Earl Carter, Democratic, 62.42
Webster, James Earl Carter, Democratic, 64.68
Wheeler, James Earl Carter, Democratic, 73.15
White, James Earl Carter, Democratic, 61.36
Whitfield, James Earl Carter, Democratic, 58.95
Wilcox, James Earl Carter, Democratic, 67.68
Wilkes, James Earl Carter, Democratic, 64.86
Wilkinson, James Earl Carter, Democratic, 66.96
Worth, James Earl Carter, Democratic, 54.68
