Adair, Ronald Wilson Reagan, Republican, 63.12
Meade, James Earl Carter, Democratic, 52.9
Menifee, James Earl Carter, Democratic, 62.61
Mercer, James Earl Carter, Democratic, 50.62
Metcalfe, Ronald Wilson Reagan, Republican, 54.3
Monroe, Ronald Wilson Reagan, Republican, 79
Montgomery, James Earl Carter, Democratic, 52.84
Morgan, James Earl Carter, Democratic, 64.25
Muhlenberg, James Earl Carter, Democratic, 56.52
Nelson, James Earl Carter, Democratic, 60.5
Nicholas, James Earl Carter, Democratic, 57.38
Ohio, Ronald Wilson Reagan, Republican, 59.1
Oldham, Ronald Wilson Reagan, Republican, 58.74
Owen, James Earl Carter, Democratic, 69.47
Owsley, Ronald Wilson Reagan, Republican, 73.57
Pendleton, James Earl Carter, Democratic, 51.53
Perry, James Earl Carter, Democratic, 58.17
Pike, James Earl Carter, Democratic, 57.85
Powell, James Earl Carter, Democratic, 53.25
Pulaski, Ronald Wilson Reagan, Republican, 65.11
Robertson, James Earl Carter, Democratic, 56.26
Rockcastle, Ronald Wilson Reagan, Republican, 71.62
Rowan, James Earl Carter, Democratic, 49.69
Russell, Ronald Wilson Reagan, Republican, 68.66
Scott, James Earl Carter, Democratic, 52.96
Shelby, James Earl Carter, Democratic, 54.63
Simpson, James Earl Carter, Democratic, 56.3
Spencer, James Earl Carter, Democratic, 55.27
Taylor, Ronald Wilson Reagan, Republican, 54.62
Todd, James Earl Carter, Democratic, 49.13
Trigg, James Earl Carter, Democratic, 56.87
Trimble, James Earl Carter, Democratic, 61.79
Union, James Earl Carter, Democratic, 63.99
Warren, Ronald Wilson Reagan, Republican, 53.9
Washington, James Earl Carter, Democratic, 50.53
Wayne, Ronald Wilson Reagan, Republican, 59.14
Webster, James Earl Carter, Democratic, 63.34
Whitley, Ronald Wilson Reagan, Republican, 63.26
Wolfe, James Earl Carter, Democratic, 64.67
Woodford, James Earl Carter, Democratic, 47.92
