Adair, Franklin Delano Roosevelt, Democratic, 51.22
Greenup, Franklin Delano Roosevelt, Democratic, 58.44
Hancock, Franklin Delano Roosevelt, Democratic, 57.43
Hardin, Franklin Delano Roosevelt, Democratic, 67.79
Harlan, Herbert Clark Hoover, Republican, 54.89
Harrison, Franklin Delano Roosevelt, Democratic, 72.3
Hart, Franklin Delano Roosevelt, Democratic, 60.34
Henderson, Franklin Delano Roosevelt, Democratic, 68.69
Henry, Franklin Delano Roosevelt, Democratic, 71.87
Hickman, Franklin Delano Roosevelt, Democratic, 87.81
Hopkins, Franklin Delano Roosevelt, Democratic, 69.99
Jackson, Herbert Clark Hoover, Republican, 84.28
Jefferson, Franklin Delano Roosevelt, Democratic, 51.31
Jessamine, Franklin Delano Roosevelt, Democratic, 62.52
Johnson, Herbert Clark Hoover, Republican, 60.7
Kenton, Franklin Delano Roosevelt, Democratic, 65.12
Knott, Franklin Delano Roosevelt, Democratic, 85.61
Knox, Herbert Clark Hoover, Republican, 56.85
Larue, Franklin Delano Roosevelt, Democratic, 67.97
Laurel, Herbert Clark Hoover, Republican, 57.26
Lawrence, Franklin Delano Roosevelt, Democratic, 56.99
Lee, Franklin Delano Roosevelt, Democratic, 54.66
Leslie, Herbert Clark Hoover, Republican, 82.96
Letcher, Franklin Delano Roosevelt, Democratic, 52.03
Lewis, Herbert Clark Hoover, Republican, 55.88
Lincoln, Franklin Delano Roosevelt, Democratic, 59.44
Livingston, Franklin Delano Roosevelt, Democratic, 67.36
Logan, Franklin Delano Roosevelt, Democratic, 71.31
Lyon, Franklin Delano Roosevelt, Democratic, 70.46
Madison, Franklin Delano Roosevelt, Democratic, 54
Magoffin, Franklin Delano Roosevelt, Democratic, 50.44
Marion, Franklin Delano Roosevelt, Democratic, 73.53
Marshall, Franklin Delano Roosevelt, Democratic, 82.78
Martin, Herbert Clark Hoover, Republican, 69.32
Mason, Franklin Delano Roosevelt, Democratic, 60.78
McCracken, Franklin Delano Roosevelt, Democratic, 73.51
McCreary, Herbert Clark Hoover, Republican, 73.43
McLean, Franklin Delano Roosevelt, Democratic, 65.6
Meade, Franklin Delano Roosevelt, Democratic, 69.81
Menifee, Franklin Delano Roosevelt, Democratic, 74.61
Mercer, Franklin Delano Roosevelt, Democratic, 65.43
Metcalfe, Franklin Delano Roosevelt, Democratic, 53.22
Monroe, Herbert Clark Hoover, Republican, 61.07
Montgomery, Franklin Delano Roosevelt, Democratic, 64.78
Morgan, Franklin Delano Roosevelt, Democratic, 74.09
Muhlenberg, Franklin Delano Roosevelt, Democratic, 61.58
Nelson, Franklin Delano Roosevelt, Democratic, 71.23
Nicholas, Franklin Delano Roosevelt, Democratic, 68.41
Ohio, Herbert Clark Hoover, Republican, 49.12
Oldham, Franklin Delano Roosevelt, Democratic, 71.73
Owen, Franklin Delano Roosevelt, Democratic, 85.48
Owsley, Herbert Clark Hoover, Republican, 79.08
Pendleton, Franklin Delano Roosevelt, Democratic, 59.42
Perry, Franklin Delano Roosevelt, Democratic, 54.85
Pike, Franklin Delano Roosevelt, Democratic, 61.36
Powell, Franklin Delano Roosevelt, Democratic, 60.89
Pulaski, Herbert Clark Hoover, Republican, 58.22
Robertson, Franklin Delano Roosevelt, Democratic, 65.84
Rockcastle, Herbert Clark Hoover, Republican, 64.29
Rowan, Franklin Delano Roosevelt, Democratic, 63.34
Russell, Herbert Clark Hoover, Republican, 59.06
Scott, Franklin Delano Roosevelt, Democratic, 69.79
Shelby, Franklin Delano Roosevelt, Democratic, 70.72
Simpson, Franklin Delano Roosevelt, Democratic, 74.64
Spencer, Franklin Delano Roosevelt, Democratic, 70.5
Taylor, Franklin Delano Roosevelt, Democratic, 51.76
Todd, Franklin Delano Roosevelt, Democratic, 71.38
Trigg, Franklin Delano Roosevelt, Democratic, 71.11
Trimble, Franklin Delano Roosevelt, Democratic, 88.49
Union, Franklin Delano Roosevelt, Democratic, 81.66
Warren, Franklin Delano Roosevelt, Democratic, 65.78
Washington, Franklin Delano Roosevelt, Democratic, 54.6
Wayne, Franklin Delano Roosevelt, Democratic, 51.88
Webster, Franklin Delano Roosevelt, Democratic, 67.71
Whitley, Herbert Clark Hoover, Republican, 62.99
Wolfe, Franklin Delano Roosevelt, Democratic, 71.81
Woodford, Franklin Delano Roosevelt, Democratic, 64.66
