Allen, Herbert Clark Hoover, Republican, 50.47
Lane, Franklin Delano Roosevelt, Democratic, 55.26
Leavenworth, Franklin Delano Roosevelt, Democratic, 59
Lincoln, Franklin Delano Roosevelt, Democratic, 56.7
Linn, Franklin Delano Roosevelt, Democratic, 54.02
Logan, Franklin Delano Roosevelt, Democratic, 52.32
Lyon, Franklin Delano Roosevelt, Democratic, 49.9
Marion, Franklin Delano Roosevelt, Democratic, 56.59
Marshall, Franklin Delano Roosevelt, Democratic, 56.62
McPherson, Franklin Delano Roosevelt, Democratic, 53.35
Meade, Herbert Clark Hoover, Republican, 49.5
Miami, Franklin Delano Roosevelt, Democratic, 55.62
Mitchell, Franklin Delano Roosevelt, Democratic, 54.21
Montgomery, Herbert Clark Hoover, Republican, 48.96
Morris, Herbert Clark Hoover, Republican, 49.69
Morton, Franklin Delano Roosevelt, Democratic, 60.96
Nemaha, Franklin Delano Roosevelt, Democratic, 58.69
Neosho, Franklin Delano Roosevelt, Democratic, 56.36
Ness, Franklin Delano Roosevelt, Democratic, 53.63
Norton, Franklin Delano Roosevelt, Democratic, 52.58
Osage, Franklin Delano Roosevelt, Democratic, 51.43
Osborne, Herbert Clark Hoover, Republican, 51.94
Ottawa, Franklin Delano Roosevelt, Democratic, 54.95
Pawnee, Franklin Delano Roosevelt, Democratic, 55.17
Phillips, Franklin Delano Roosevelt, Democratic, 56.45
Pottawatomie, Franklin Delano Roosevelt, Democratic, 53.23
Pratt, Franklin Delano Roosevelt, Democratic, 57.61
Rawlins, Franklin Delano Roosevelt, Democratic, 65.59
Reno, Franklin Delano Roosevelt, Democratic, 49.29
Republic, Franklin Delano Roosevelt, Democratic, 59.61
Rice, Herbert Clark Hoover, Republican, 49.33
Riley, Herbert Clark Hoover, Republican, 54.65
Rooks, Franklin Delano Roosevelt, Democratic, 51.57
Rush, Franklin Delano Roosevelt, Democratic, 60.28
Russell, Franklin Delano Roosevelt, Democratic, 58.8
Saline, Franklin Delano Roosevelt, Democratic, 55.73
Scott, Franklin Delano Roosevelt, Democratic, 62.47
Sedgwick, Franklin Delano Roosevelt, Democratic, 55.79
Seward, Franklin Delano Roosevelt, Democratic, 53.03
Shawnee, Herbert Clark Hoover, Republican, 53.44
Sheridan, Franklin Delano Roosevelt, Democratic, 65.5
Sherman, Franklin Delano Roosevelt, Democratic, 61.09
Smith, Franklin Delano Roosevelt, Democratic, 51.14
Stafford, Franklin Delano Roosevelt, Democratic, 56.19
Stanton, Franklin Delano Roosevelt, Democratic, 58.4
Stevens, Franklin Delano Roosevelt, Democratic, 65.86
Sumner, Franklin Delano Roosevelt, Democratic, 54.68
Thomas, Franklin Delano Roosevelt, Democratic, 61.17
Trego, Franklin Delano Roosevelt, Democratic, 64.4
Wabaunsee, Franklin Delano Roosevelt, Democratic, 50.7
Wallace, Franklin Delano Roosevelt, Democratic, 54.63
Washington, Franklin Delano Roosevelt, Democratic, 55.32
Wichita, Franklin Delano Roosevelt, Democratic, 64.27
Wilson, Franklin Delano Roosevelt, Democratic, 52.53
Woodson, Franklin Delano Roosevelt, Democratic, 51.96
Wyandotte, Franklin Delano Roosevelt, Democratic, 55.47
