Adams, Franklin Delano Roosevelt, Democratic, 66.62
Lawrence, Franklin Delano Roosevelt, Democratic, 58.42
Lee, Herbert Clark Hoover, Republican, 51.46
Livingston, Franklin Delano Roosevelt, Democratic, 53.92
Logan, Franklin Delano Roosevelt, Democratic, 57.52
Macon, Franklin Delano Roosevelt, Democratic, 54.99
Macoupin, Franklin Delano Roosevelt, Democratic, 62.65
Madison, Franklin Delano Roosevelt, Democratic, 61.52
Marion, Franklin Delano Roosevelt, Democratic, 62.09
Marshall, Franklin Delano Roosevelt, Democratic, 56.27
Mason, Franklin Delano Roosevelt, Democratic, 68.45
Massac, Herbert Clark Hoover, Republican, 51.6
McDonough, Franklin Delano Roosevelt, Democratic, 53.94
McHenry, Herbert Clark Hoover, Republican, 53.14
McLean, Franklin Delano Roosevelt, Democratic, 54.46
Menard, Franklin Delano Roosevelt, Democratic, 59.3
Mercer, Herbert Clark Hoover, Republican, 50.21
Monroe, Franklin Delano Roosevelt, Democratic, 63.8
Montgomery, Franklin Delano Roosevelt, Democratic, 61.05
Morgan, Franklin Delano Roosevelt, Democratic, 56.09
Moultrie, Franklin Delano Roosevelt, Democratic, 63.48
Ogle, Herbert Clark Hoover, Republican, 59.11
Peoria, Franklin Delano Roosevelt, Democratic, 59.02
Perry, Franklin Delano Roosevelt, Democratic, 64.34
Piatt, Franklin Delano Roosevelt, Democratic, 56.43
Pike, Franklin Delano Roosevelt, Democratic, 64.35
Pope, Herbert Clark Hoover, Republican, 53.89
Pulaski, Franklin Delano Roosevelt, Democratic, 51.23
Putnam, Franklin Delano Roosevelt, Democratic, 58.62
Randolph, Franklin Delano Roosevelt, Democratic, 63.27
Richland, Franklin Delano Roosevelt, Democratic, 60.12
Rock Island, Franklin Delano Roosevelt, Democratic, 53.01
Saline, Franklin Delano Roosevelt, Democratic, 59.04
Sangamon, Franklin Delano Roosevelt, Democratic, 54
Schuyler, Franklin Delano Roosevelt, Democratic, 63.78
Scott, Franklin Delano Roosevelt, Democratic, 62.7
Shelby, Franklin Delano Roosevelt, Democratic, 62.4
St. Clair, Franklin Delano Roosevelt, Democratic, 65.18
Stark, Franklin Delano Roosevelt, Democratic, 52.26
Stephenson, Franklin Delano Roosevelt, Democratic, 53.11
Tazewell, Franklin Delano Roosevelt, Democratic, 64.55
Union, Franklin Delano Roosevelt, Democratic, 67.77
Vermilion, Franklin Delano Roosevelt, Democratic, 59.08
Wabash, Franklin Delano Roosevelt, Democratic, 63.93
Warren, Franklin Delano Roosevelt, Democratic, 49.83
Washington, Franklin Delano Roosevelt, Democratic, 59.25
Wayne, Franklin Delano Roosevelt, Democratic, 56.84
White, Franklin Delano Roosevelt, Democratic, 63.55
Whiteside, Herbert Clark Hoover, Republican, 61.14
Will, Franklin Delano Roosevelt, Democratic, 49.36
Williamson, Franklin Delano Roosevelt, Democratic, 58.21
Winnebago, Herbert Clark Hoover, Republican, 57.12
Woodford, Franklin Delano Roosevelt, Democratic, 57.05
