Marengo, 49.02%, 5343, 50.35%, 5488, 0.54%, 59, 0.09%, 10, 10900
Marion, 88.40%, 12205, 10.60%, 1463, 0.83%, 115, 0.17%, 24, 13807
Marshall, 83.70%, 33191, 14.99%, 5943, 1.10%, 435, 0.22%, 86, 39655
Mobile, 55.27%, 101243, 43.39%, 79474, 1.06%, 1938, 0.28%, 509, 183164
Monroe, 57.62%, 6147, 41.76%, 4455, 0.50%, 53, 0.12%, 13, 10668
Montgomery, 33.60%, 33311, 65.09%, 64529, 0.93%, 923, 0.38%, 376, 99139
Morgan, 73.83%, 39664, 24.63%, 13234, 1.31%, 705, 0.22%, 119, 53722
Perry, 25.60%, 1339, 73.80%, 3860, 0.46%, 24, 0.13%, 7, 5230
Pickens, 57.86%, 5594, 41.60%, 4022, 0.41%, 40, 0.12%, 12, 9668
Pike, 58.10%, 8042, 40.72%, 5636, 0.97%, 134, 0.21%, 29, 13841
Randolph, 78.98%, 8559, 20.33%, 2203, 0.56%, 61, 0.13%, 14, 10837
Russell, 46.25%, 9864, 52.64%, 11228, 0.93%, 198, 0.18%, 39, 21329
Shelby, 69.33%, 79700, 28.94%, 33268, 1.27%, 1462, 0.45%, 520, 114950
St. Clair, 81.38%, 36166, 17.43%, 7744, 1.00%, 446, 0.19%, 85, 44441
Sumter, 25.40%, 1598, 73.88%, 4648, 0.59%, 37, 0.13%, 8, 6291
Talladega, 62.35%, 22235, 36.84%, 13138, 0.69%, 247, 0.12%, 43, 35663
Tallapoosa, 71.28%, 14963, 27.91%, 5859, 0.62%, 130, 0.19%, 39, 20991
Tuscaloosa, 56.69%, 51117, 41.88%, 37765, 1.03%, 927, 0.40%, 363, 90172
Walker, 83.42%, 26002, 15.51%, 4834, 0.89%, 277, 0.18%, 57, 31170
Washington, 73.95%, 6564, 25.44%, 2258, 0.51%, 45, 0.10%, 9, 8876
Wilcox, 31.05%, 1833, 68.58%, 4048, 0.29%, 17, 0.08%, 5, 5903
Winston, 90.35%, 10195, 8.63%, 974, 0.90%, 102, 0.12%, 13, 11284
